Endereço A,Porta A,Endereço B,Porta B,Pacotes,Bytes,ID da Fluxo,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Início Relativo,Duração,Bits/s A → B,Bits/s B → A
"10.0.0.3",33118,"10.0.0.2",5002,2052,1345112,14,1026,1195314,1026,149798,19.637977,0.539829000000001,17713964,2219932
"10.0.0.3",38517,"10.0.0.2",5002,2052,1345112,16,1026,1195314,1026,149798,22.557424,0.29543299999999917,32367785,4056364
"10.0.0.3",39640,"10.0.0.2",5002,2052,1345112,2,1026,1195314,1026,149798,2.998352,0.37941899999999995,25203039,3158471
"10.0.0.3",40575,"10.0.0.2",5002,2052,1345112,17,1026,1195314,1026,149798,23.895758,0.3106170000000006,30785539,3858076
"10.0.0.3",41524,"10.0.0.2",5002,2052,1345112,1,1026,1195314,1026,149798,1.5263200000000001,0.425519,22472585,2816287
"10.0.0.3",42359,"10.0.0.2",5002,2052,1345112,0,1026,1195314,1026,149798,0,0.474236,20164036,2526978
"10.0.0.3",44829,"10.0.0.2",5002,2052,1345112,5,1026,1195314,1026,149798,7.102885,0.46104000000000056,20741176,2599305
"10.0.0.3",45785,"10.0.0.2",5002,2052,1345112,18,1026,1195314,1026,149798,25.261402,0.44315500000000085,21578255,2704209
"10.0.0.3",47508,"10.0.0.2",5002,2052,1345112,7,1026,1195314,1026,149798,9.950816,0.39407500000000084,24265715,3041004
"10.0.0.3",48702,"10.0.0.2",5002,2052,1345112,15,1026,1195314,1026,149798,21.237111,0.2725679999999997,35083032,4396642
"10.0.0.3",48936,"10.0.0.2",5002,2052,1345112,12,1026,1195314,1026,149798,16.860828,0.33776599999999846,28311055,3547971
"10.0.0.3",49572,"10.0.0.2",5002,2048,1343504,19,1024,1194001,1024,149503,26.759978,0.31553699999999907,30272227,3790439
"10.0.0.3",50908,"10.0.0.2",5002,2052,1345112,11,1026,1195314,1026,149798,15.524938,0.2704299999999993,35360396,4431401
"10.0.0.3",51549,"10.0.0.2",5002,2052,1345112,3,1026,1195314,1026,149798,4.436171,0.25141400000000047,38034922,4766576
"10.0.0.3",52063,"10.0.0.2",5002,2052,1345112,4,1026,1195314,1026,149798,5.744655,0.3031649999999999,31542269,3952910
"10.0.0.3",52124,"10.0.0.2",5002,2052,1345112,6,1026,1195314,1026,149798,8.610363,0.2809179999999998,34040225,4265956
"10.0.0.3",53519,"10.0.0.2",5002,2052,1345112,13,1026,1195314,1026,149798,18.26803,0.3206130000000016,29825715,3737789
"10.0.0.3",57746,"10.0.0.2",5002,2052,1345112,9,1026,1195314,1026,149798,12.79604,0.2785390000000003,34330962,4302392
"10.0.0.3",57855,"10.0.0.2",5002,2052,1345112,8,1026,1195314,1026,149798,11.382298,0.3536059999999992,27042844,3389037
"10.0.0.3",60201,"10.0.0.2",5002,2052,1345112,10,1026,1195314,1026,149798,14.155665,0.2922039999999999,32725465,4101189
