Endereço A,Porta A,Endereço B,Porta B,Pacotes,Bytes,ID da Fluxo,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Início Relativo,Duração,Bits/s A → B,Bits/s B → A
"10.0.0.3",33202,"10.0.0.2",5002,2052,1345112,16,1026,1195314,1026,149798,21.921722,0.2897689999999997,33000465,4135652
"10.0.0.3",34018,"10.0.0.2",5002,2052,1345112,1,1026,1195314,1026,149798,1.663011,0.3768959999999999,25371752,3179614
"10.0.0.3",38164,"10.0.0.2",5002,2052,1345112,17,1026,1195314,1026,149798,23.295609,0.279358000000002,34230313,4289778
"10.0.0.3",41752,"10.0.0.2",5002,2052,1345112,2,1026,1195314,1026,149798,3.089425,0.3463890000000003,27606280,3459647
"10.0.0.3",42855,"10.0.0.2",5002,2052,1345112,7,1026,1195314,1026,149798,9.804025,0.23420600000000036,40829491,5116794
"10.0.0.3",43000,"10.0.0.2",5002,2052,1345112,0,1026,1195314,1026,149798,0,0.591735,16160125,2025203
"10.0.0.3",44163,"10.0.0.2",5002,2052,1345112,8,1026,1195314,1026,149798,11.086645,0.25640099999999855,37295143,4673866
"10.0.0.3",44843,"10.0.0.2",5002,2052,1345112,6,1026,1195314,1026,149798,8.555511,0.1918930000000003,49832521,6245063
"10.0.0.3",45481,"10.0.0.2",5002,2052,1345112,15,1026,1195314,1026,149798,20.547002,0.28181800000000123,33931516,4252333
"10.0.0.3",45602,"10.0.0.2",5002,2052,1345112,11,1026,1195314,1026,149798,15.083182,0.29857399999999856,32027276,4013691
"10.0.0.3",45963,"10.0.0.2",5002,2052,1345112,13,1026,1195314,1026,149798,17.922282,0.24010600000000082,39826210,4991062
"10.0.0.3",48467,"10.0.0.2",5002,2052,1345112,3,1026,1195314,1026,149798,4.4825,0.24310200000000037,39335390,4929552
"10.0.0.3",51678,"10.0.0.2",5002,2052,1345112,14,1026,1195314,1026,149798,19.229926,0.2563589999999998,37301253,4674632
"10.0.0.3",51748,"10.0.0.2",5002,2048,1343504,19,1024,1194001,1024,149503,25.92191,0.26458900000000085,36101304,4520308
"10.0.0.3",51966,"10.0.0.2",5002,2052,1345112,10,1026,1195314,1026,149798,13.717335,0.3059359999999991,31256576,3917106
"10.0.0.3",52893,"10.0.0.2",5002,2052,1345112,9,1026,1195314,1026,149798,12.436876,0.22971900000000112,41626996,5216738
"10.0.0.3",55268,"10.0.0.2",5002,2052,1345112,12,1026,1195314,1026,149798,16.539148,0.31174000000000035,30674639,3844177
"10.0.0.3",56567,"10.0.0.2",5002,2052,1345112,4,1026,1195314,1026,149798,5.774955,0.3093490000000001,30911727,3873890
"10.0.0.3",57172,"10.0.0.2",5002,2052,1345112,18,1026,1195314,1026,149798,24.629788,0.23852999999999724,40089347,5024038
"10.0.0.3",60322,"10.0.0.2",5002,2052,1345112,5,1026,1195314,1026,149798,7.165295,0.3009809999999993,31771148,3981593
