Endereço A,Porta A,Endereço B,Porta B,Pacotes,Bytes,ID da Fluxo,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Início Relativo,Duração,Bits/s A → B,Bits/s B → A
"10.0.0.3",35217,"10.0.0.2",5002,2052,1345112,4,1026,1195314,1026,149798,5.519525,0.35871999999999993,26657314,3340722
"10.0.0.3",35561,"10.0.0.2",5002,2052,1345112,16,1026,1195314,1026,149798,21.892109,0.3064949999999982,31199569,3909962
"10.0.0.3",35614,"10.0.0.2",5002,2052,1345112,14,1026,1195314,1026,149798,19.138942,0.3390810000000002,28201261,3534211
"10.0.0.3",37355,"10.0.0.2",5002,2052,1345112,7,1026,1195314,1026,149798,9.555688,0.2988230000000005,32000588,4010347
"10.0.0.3",37788,"10.0.0.2",5002,2052,1345112,17,1026,1195314,1026,149798,23.257434,0.2314070000000008,41323348,5178685
"10.0.0.3",39280,"10.0.0.2",5002,2052,1345112,13,1026,1195314,1026,149798,17.672346,0.38854299999999853,24611206,3084302
"10.0.0.3",39627,"10.0.0.2",5002,2052,1345112,3,1026,1195314,1026,149798,4.160727,0.27726200000000034,34489082,4322207
"10.0.0.3",40163,"10.0.0.2",5002,2052,1345112,10,1026,1195314,1026,149798,13.646237,0.2745430000000013,34830653,4365013
"10.0.0.3",40790,"10.0.0.2",5002,2052,1345112,2,1026,1195314,1026,149798,2.83837,0.24762300000000037,38617220,4839550
"10.0.0.3",41320,"10.0.0.2",5002,2052,1345112,18,1026,1195314,1026,149798,24.546946,0.24415200000000326,39166224,4908352
"10.0.0.3",43209,"10.0.0.2",5002,2052,1345112,5,1026,1195314,1026,149798,6.931351,0.28296399999999977,33794093,4235111
"10.0.0.3",47039,"10.0.0.2",5002,2048,1343504,19,1024,1194001,1024,149503,25.861103,0.3104769999999988,30765589,3852214
"10.0.0.3",48521,"10.0.0.2",5002,2052,1345112,9,1026,1195314,1026,149798,12.27558,0.2801209999999994,34137076,4278094
"10.0.0.3",52956,"10.0.0.2",5002,2052,1345112,6,1026,1195314,1026,149798,8.259514,0.22074399999999983,43319465,5428840
"10.0.0.3",54189,"10.0.0.2",5002,2052,1345112,0,1026,1195314,1026,149798,0,0.485916,19679351,2466236
"10.0.0.3",55588,"10.0.0.2",5002,2052,1345112,1,1026,1195314,1026,149798,1.572822,0.21500999999999992,44474731,5573619
"10.0.0.3",56263,"10.0.0.2",5002,2052,1345112,11,1026,1195314,1026,149798,14.975815,0.30592099999999967,31258109,3917298
"10.0.0.3",56776,"10.0.0.2",5002,2052,1345112,15,1026,1195314,1026,149798,20.531643,0.29538000000000153,32373593,4057092
"10.0.0.3",59639,"10.0.0.2",5002,2052,1345112,12,1026,1195314,1026,149798,16.354794,0.27076600000000184,35316516,4425902
"10.0.0.3",60497,"10.0.0.2",5002,2052,1345112,8,1026,1195314,1026,149798,10.941075,0.2910050000000002,32860301,4118087
