Endereço A,Porta A,Endereço B,Porta B,Pacotes,Bytes,ID da Fluxo,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Início Relativo,Duração,Bits/s A → B,Bits/s B → A,Fluxos
"10.0.0.3",43872,"10.0.0.2",5001,461,1100048,7,236,1085119,225,14929,7.616023,0.07399299999999975,117321260,1614098,7
"10.0.0.3",43878,"10.0.0.2",5001,570,1086338,8,400,1075087,170,11251,8.698796,0.06802300000000017,126438057,1323199,7
"10.0.0.3",43886,"10.0.0.2",5001,138,1057826,9,85,1054297,53,3529,9.775983,0.0813120000000005,103728551,347205,7
"10.0.0.3",43902,"10.0.0.2",5001,733,1097096,10,476,1080103,257,16993,10.851094,0.0739200000000011,116894264,1839069,7
"10.0.0.3",43906,"10.0.0.2",5001,652,1091750,11,422,1076539,230,15211,11.932231999999999,0.06656600000000168,129380043,1828080,7
"10.0.0.3",43914,"10.0.0.2",5001,427,1076912,12,312,1069279,115,7633,12.991666,0.05335299999999954,160332727,1144527,7
"10.0.0.3",43920,"10.0.0.2",5001,583,1087184,13,382,1073899,201,13285,14.06842,0.07169999999999987,119821366,1482287,7
"10.0.0.3",43922,"10.0.0.2",5001,729,1096832,14,477,1080169,252,16663,15.206047,0.04243400000000008,203642173,3141443,7
"10.0.0.3",43932,"10.0.0.2",5001,549,1084940,15,392,1074559,157,10381,16.273281,0.03918200000000027,219398499,2119544,7
"10.0.0.3",54352,"10.0.0.2",5001,493,1091464,16,345,1081593,148,9871,17.350632,0.07620199999999855,113550090,1036298,7
"10.0.0.3",54368,"10.0.0.2",5001,755,1098548,17,499,1081621,256,16927,18.450224,0.07821100000000314,110636202,1731418,7
"10.0.0.3",54372,"10.0.0.2",5001,516,1082774,18,288,1067695,228,15079,19.516823,0.040956000000001325,208554546,2945404,7
"10.0.0.3",54380,"10.0.0.2",5001,613,1085068,19,400,1070991,213,14077,20.596721,0.0320910000000012,266988501,3509270,7
"10.0.0.3",60704,"10.0.0.2",5001,503,1081904,0,336,1070863,167,11041,0,0.125829,68083700,701968,7
"10.0.0.3",60720,"10.0.0.2",5001,739,1097492,1,489,1080961,250,16531,1.099753,0.06795799999999996,127250478,1946025,7
"10.0.0.3",60722,"10.0.0.2",5001,737,1097360,2,488,1080895,249,16465,2.199518,0.064616,133823820,2038504,7
"10.0.0.3",60734,"10.0.0.2",5001,662,1112022,3,406,1095011,256,17011,3.288293,0.06710500000000019,130542999,2027985,7
"10.0.0.3",60742,"10.0.0.2",5001,653,1098348,4,420,1082903,233,15445,4.389341,0.04675000000000029,185309604,2642994,7
"10.0.0.3",60750,"10.0.0.2",5001,440,1085046,5,226,1070843,214,14203,5.448646,0.059019000000000155,145152306,1925210,7
"10.0.0.3",60758,"10.0.0.2",5001,700,1094906,6,466,1079443,234,15463,6.526359,0.049741000000000035,173610180,2486962,7
