Endereço A,Porta A,Endereço B,Porta B,Pacotes,Bytes,ID da Fluxo,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Início Relativo,Duração,Bits/s A → B,Bits/s B → A,Fluxos
"10.0.0.3",35376,"10.0.0.2",5001,2,128,2,1,74,1,54,2.116942,1.8999999999991246e-05,"","",0
"10.0.0.3",35386,"10.0.0.2",5001,2,128,3,1,74,1,54,3.213774,2.799999999991698e-05,"","",0
"10.0.0.3",35400,"10.0.0.2",5001,2,128,4,1,74,1,54,4.259946,0.0005350000000001742,"","",0
"10.0.0.3",35408,"10.0.0.2",5001,2,128,5,1,74,1,54,5.3136849999999995,1.8000000000739647e-05,"","",0
"10.0.0.3",35420,"10.0.0.2",5001,2,128,6,1,74,1,54,6.379382,2.4000000000690136e-05,"","",0
"10.0.0.3",35430,"10.0.0.2",5001,2,128,7,1,74,1,54,7.42494,9.899999999962716e-05,"","",0
"10.0.0.3",35440,"10.0.0.2",5001,2,128,8,1,74,1,54,8.455622,1.4000000000180535e-05,"","",0
"10.0.0.3",35456,"10.0.0.2",5001,2,128,9,1,74,1,54,9.497074,2.6000000000081513e-05,"","",0
"10.0.0.3",35472,"10.0.0.2",5001,2,128,10,1,74,1,54,10.546876,2.0000000001019203e-05,"","",0
"10.0.0.3",35478,"10.0.0.2",5001,2,128,11,1,74,1,54,11.589099000000001,9.099999999939712e-05,"","",0
"10.0.0.3",36506,"10.0.0.2",5001,552,1085150,34,373,1073305,179,11845,72.467761,0.06388600000001077,134402529,1483267,7
"10.0.0.3",36512,"10.0.0.2",5001,650,1091618,35,430,1077067,220,14551,73.539442,0.06333000000000766,136057729,1838117,7
"10.0.0.3",36524,"10.0.0.2",5001,244,1064810,36,150,1058587,94,6223,74.616074,0.09343599999999697,90636328,532813,7
"10.0.0.3",36538,"10.0.0.2",5001,729,1096820,37,479,1080301,250,16519,75.727135,0.13046599999999842,66242607,1012922,7
"10.0.0.3",36542,"10.0.0.2",5001,445,1086316,38,268,1074567,177,11749,76.91044,0.054020000000008395,159136171,1739948,7
"10.0.0.3",36554,"10.0.0.2",5001,722,1095158,39,478,1079035,244,16123,77.978126,0.00871999999999673,989940366,14791743,7
"10.0.0.3",37924,"10.0.0.2",5001,2,128,12,1,74,1,54,12.636949,2.6000000000081513e-05,"","",0
"10.0.0.3",37928,"10.0.0.2",5001,2,128,13,1,74,1,54,13.690711,3.5999999999702936e-05,"","",0
"10.0.0.3",37942,"10.0.0.2",5001,2,128,14,1,74,1,54,14.728837,1.9999999999242846e-05,"","",0
"10.0.0.3",37956,"10.0.0.2",5001,2,128,15,1,74,1,54,15.763577,2.5000000000829914e-05,"","",0
"10.0.0.3",37970,"10.0.0.2",5001,2,128,16,1,74,1,54,16.799298,1.899999999821489e-05,"","",0
"10.0.0.3",37974,"10.0.0.2",5001,2,128,17,1,74,1,54,17.83492,1.899999999821489e-05,"","",0
"10.0.0.3",37978,"10.0.0.2",5001,2,128,18,1,74,1,54,18.908721,2.9000000001389026e-05,"","",0
"10.0.0.3",37984,"10.0.0.2",5001,2,128,19,1,74,1,54,19.96908,3.0999999999892225e-05,"","",0
"10.0.0.3",38432,"10.0.0.2",5001,2,128,0,1,74,1,54,0,2e-05,"","",0
"10.0.0.3",38446,"10.0.0.2",5001,2,128,1,1,74,1,54,1.065011,1.8000000000073513e-05,"","",0
"10.0.0.3",41484,"10.0.0.2",5001,733,1097096,25,487,1080829,246,16267,62.797589,0.05102499999999566,169458735,2550436,7
"10.0.0.3",41492,"10.0.0.2",5001,559,1085612,26,394,1074691,165,10921,63.870618,0.05545999999999651,155022142,1575333,7
"10.0.0.3",41502,"10.0.0.2",5001,652,1091738,27,434,1077331,218,14407,64.925138,0.04769499999999027,180703386,2416521,7
"10.0.0.3",41504,"10.0.0.2",5001,575,1086656,28,405,1075417,170,11239,66.038649,0.06759199999999055,127283347,1330216,7
"10.0.0.3",41510,"10.0.0.2",5001,427,1079808,29,297,1071185,130,8623,67.113345,0.043981999999999744,194840616,1568459,7
"10.0.0.3",41520,"10.0.0.2",5001,728,1096766,30,473,1079905,255,16861,68.166033,0.054456000000001836,158646246,2477008,7
"10.0.0.3",41522,"10.0.0.2",5001,662,1092422,31,439,1077661,223,14761,69.238539,0.045861999999999625,187983254,2574854,7
"10.0.0.3",41534,"10.0.0.2",5001,744,1098786,32,484,1081583,260,17203,70.304164,0.05048800000000142,171380605,2725875,7
"10.0.0.3",41548,"10.0.0.2",5001,347,1071620,33,180,1060567,167,11053,71.391757,0.06036699999999939,140549240,1464773,7
"10.0.0.3",45936,"10.0.0.2",5001,332,1074998,20,239,1068805,93,6193,57.356155,0.13499900000000054,63337061,366995,7
"10.0.0.3",45940,"10.0.0.2",5001,510,1085286,21,271,1069469,239,15817,58.453463,0.07332600000000156,116681013,1725663,7
"10.0.0.3",45954,"10.0.0.2",5001,729,1096832,22,481,1080433,248,16399,59.557431,0.05637699999999768,153315430,2327048,7
"10.0.0.3",45958,"10.0.0.2",5001,515,1082696,23,344,1071391,171,11305,60.634281,0.07375199999999893,116215533,1226271,7
"10.0.0.3",45970,"10.0.0.2",5001,582,1087130,24,400,1075087,182,12043,61.728692,0.05862699999999421,146701963,1643338,7
