Endereço A,Porta A,Endereço B,Porta B,Pacotes,Bytes,ID da Fluxo,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Início Relativo,Duração,Bits/s A → B,Bits/s B → A,Fluxos
"10.0.0.3",34958,"10.0.0.2",5001,727,1096700,6,480,1080367,247,16333,6.705521,0.06108799999999981,141483368,2138947,7
"10.0.0.3",34964,"10.0.0.2",5001,408,1075646,7,279,1067101,129,8545,7.773345,0.07798999999999978,109460289,876522,7
"10.0.0.3",34976,"10.0.0.2",5001,743,1097744,8,486,1080763,257,16981,8.87051,0.0509050000000002,169847834,2668657,7
"10.0.0.3",34984,"10.0.0.2",5001,424,1076702,9,268,1066375,156,10327,9.967093,0.06869200000000042,124192045,1202701,7
"10.0.0.3",34990,"10.0.0.2",5001,651,1091684,10,429,1077001,222,14683,11.050681,0.09087399999999946,94812685,1292602,7
"10.0.0.3",34996,"10.0.0.2",5001,721,1096304,11,476,1080103,245,16201,12.13503,0.05378099999999897,160666852,2409921,7
"10.0.0.3",34998,"10.0.0.2",5001,141,1058012,12,89,1054561,52,3451,13.199743,0.056430000000000646,149503597,489243,7
"10.0.0.3",35000,"10.0.0.2",5001,523,1083236,13,339,1071061,184,12175,14.274537,0.06214699999999951,137874523,1567251,7
"10.0.0.3",35002,"10.0.0.2",5001,471,1127304,14,258,1113011,213,14293,15.353558,0.05917100000000097,150480607,1932433,7
"10.0.0.3",35008,"10.0.0.2",5001,735,1097228,15,484,1080631,251,16597,16.423426,0.09435600000000122,91621603,1407181,7
"10.0.0.3",44524,"10.0.0.2",5001,720,1096226,0,476,1080103,244,16123,0,0.254664,33930292,506486,7
"10.0.0.3",44532,"10.0.0.2",5001,494,1081334,1,348,1071655,146,9679,1.194329,0.051171999999999995,167537715,1513171,7
"10.0.0.3",44540,"10.0.0.2",5001,521,1083104,2,345,1071457,176,11647,2.262097,0.06501599999999996,131839178,1433124,7
"10.0.0.3",44554,"10.0.0.2",5001,711,1095632,3,467,1079509,244,16123,3.381656,0.06369099999999994,135593286,2025152,7
"10.0.0.3",44556,"10.0.0.2",5001,531,1083764,4,346,1071523,185,12241,4.491697,0.07947799999999994,107856060,1232139,7
"10.0.0.3",44564,"10.0.0.2",5001,391,1074512,5,261,1065913,130,8599,5.597879,0.092333,92353806,745042,7
"10.0.0.3",51530,"10.0.0.2",5001,580,1089906,16,391,1077389,189,12517,17.536865,0.04569100000000148,188639163,2191591,7
"10.0.0.3",51532,"10.0.0.2",5001,367,1138136,17,261,1131073,106,7063,18.606788,0.059474999999999056,152140966,950046,7
"10.0.0.3",51548,"10.0.0.2",5001,591,1087724,18,390,1074427,201,13297,19.682893,0.07770800000000122,110611725,1368919,7
"10.0.0.3",51562,"10.0.0.2",5001,324,1142838,19,229,1136489,95,6349,20.752227,0.0112269999999981,809825599,4524093,7
